id,authors,year,title,venue
1515,"Michael Stonebraker, Jean T. Anderson",1994,SEQUOIA 2000 Metadata Schema for Satellite Images,SIGMOD Record
1516,"Sanjeev Khanna, Peter Buneman, Wang Chiew Tan, Keishi Tajima",2002,Archiving scientific data,SIGMOD Conference
1517,"Arvind Arasu, Hector Garcia-Molina",2003,Extracting Structured Data from Web Pages,SIGMOD Conference
1518,"Eric Hughes, Leonard J. Seligman, Arnon Rosenthal, Scott Renner",1997,A Consumer Viewpoint on Mediator Languages - a Proposal for a Standard,SIGMOD Record
1519,Yannis Kotidis,2001,A Data Warehousing Architecture for Enabling Service Provisioning Process,VLDB
1520,"Antonio Massari, Panos K. Chrysanthis, Lorenzo Saladini, Stefano Pavani",1995,QBI: Query By Icons,SIGMOD Conference
1521,"Sriram Raghavan, Hector Garcia-Molina",2001,Crawling the Hidden Web,VLDB
1522,Mario A. Nascimento,2003,Peer-to-peer: harnessing the power of disruptive technologies,SIGMOD Record
1523,"Yaw-Huei Chen, Chi-Sheng Shih, Chiang Lee",2001,A graph-theoretic model for optimizing queries involving methods,VLDB J.
1524,"James Clifford, Ramez Elmasri, Michael D. Soo, Wolfgang K�fer, Nick Kline, Arie Segev, Suryanarayana M. Sripada, Fabio Grandi, John F. Roddick, Richard T. Snodgrass, Christian S. Jensen, Nikos A. Lorentzos, Ilsoo Ahn, Gad Ariav, Don S. Batory, T. Y. Cliff Leung, Curtis E. Dyreson, Krishna G. Kulkarni",1994,A TSQL2 Tutorial,SIGMOD Record
1525,"Shalom Tsur, Rajeev Motwani, Sergey Brin, Jeffrey D. Ullman",1997,Dynamic Itemset Counting and Implication Rules for Market Basket Data,SIGMOD Conference
1526,"Hans Fritschi, Arne Koschel, G�nter von B�ltzingsloewen, Stella Gatziu",1998,Unbundling Active Functionality,SIGMOD Record
1527,"Flip Korn, Yunyue Zhu, S. Muthukrishnan",2003,Checks and Balances: Monitoring Data Quality Problems in Network Traffic Databases,VLDB
1528,"Yannis Kotidis, Nick Roussopoulos",1998,The Cubetree Storage Organization,VLDB
1529,"Sheung-lun Hung, Shan-hoi Ng",1995,Multigranularity Locking in Multiple Job Classes Transaction Processing System,SIGMOD Record
1530,"Vivek R. Narasayya, Gautam Das, Surajit Chaudhuri",2001,"A Robust, Optimization-Based Approach for Approximate Answering of Aggregate Queries",SIGMOD Conference
1531,"Sihem Amer-Yahia, Divesh Srivastava, SungRan Cho, Laks V. S. Lakshmanan",2002,Optimizing the Secure Evaluation of Twig Queries,VLDB
1532,John Gaffney,1996,Illustra's Web DataBlade Module,SIGMOD Record
1533,"Raghu Ramakrishnan, Miron Livny, Praveen Seshadri",1994,Sequence Query Processing,SIGMOD Conference
1534,Kenneth R. Jacobs,1997,Innovation in Database Management: Computer Science vs. Engineering,VLDB
1535,"Sridhar Ramaswamy, Paris C. Kanellakis",1995,OODB Indexing by Class-Division,SIGMOD Conference
1536,Michael J. Carey,2000,"Toto, We're Not in Kansas Anymore: On Transitioning from Research to the Real (Invited Industrial Talk)",VLDB
1537,Costas Vassilakis,2000,An Optimisation Scheme for Coalesce/Valid Time Selection Operator Sequences,SIGMOD Record
1538,"Surajit Chaudhuri, Sanjay Agrawal, Vivek R. Narasayya",2000,Automated Selection of Materialized Views and Indexes in SQL Databases,VLDB
1539,"Vassilis J. Tsotras, Carlo Zaniolo, Shu-Yao Chien",2001,Efficient Management of Multiversion Documents by Object Referencing,VLDB
1540,"Tamer Kahveci, Ambuj K. Singh",2001,Efficient Index Structures for String Databases,VLDB
1541,Jiawei Han,1996,Data Mining Techniques,SIGMOD Conference
1542,"Julia E. Hodges, Shekar Ramanathan",1997,Extraction of Object-Oriented Structures from Existing Relational Databases,SIGMOD Record
1543,"Benjamin W. Wah, Yixin Chen, Jianyong Wang, Guozhu Dong, Jiawei Han",2002,Multi-Dimensional Regression Analysis of Time-Series Data Streams,VLDB
1544,?,2000,"Proceedings of the 2000 ACM SIGMOD International Conference on Management of Data, May 16-18, 2000, Dallas, Texas, USA",SIGMOD Conference
1545,Yannis E. Ioannidis,1996,Dynamic Information Visualization,SIGMOD Record
1546,"Reagan Moore, Arun Jagatheesan, Paul Watson, Norman W. Paton",2003,Grid Data Management Systems & Services,VLDB
1547,"Dongwon Lee, Wesley W. Chu",2000,Comparative Analysis of Six XML Schema Languages,SIGMOD Record
1548,Ralf Hartmut G�ting,1994,GraphDB: Modeling and Querying Graphs in Databases,VLDB
1549,"Jim Gray, Goetz Graefe",1997,"The Five-Minute Rule Ten Years Later, and Other Computer Storage Rules of Thumb",SIGMOD Record
1550,"Tirthankar Lahiri, N. MacNaughton, Sashikanth Chandrasekaran, Wilson Chan, Vinay Srihari",2001,Cache Fusion: Extending Shared-Disk Clusters with Shared Caches,VLDB
1551,"Rudolf Legat, Arne Koschel, Andree Keitel, Ralf Kramer, Claudia Rolker, Ralf Nikolai, Peter C. Lockemann, Konrad Zirm",1997,WWW-UDK: A Web-based Environmental Meta-Information System,SIGMOD Record
1552,"Gottfried Vossen, Jens Lechtenb�rger",2003,On the computation of relational view complements,ACM Trans. Database Syst.
1553,"Robert W. Irving, Malcolm P. Atkinson, Ela Hunt",2002,Database indexing for large DNA and protein sequence collections,VLDB J.
1554,"Alin Deutsch, Val Tannen",2003,MARS: A System for Publishing XML from Mixed and Redundant Storage,VLDB
1555,"S. Sudarshan, P. P. S. Narayan, Rama Kanneganti, H. V. Jagadish, S. Seshadri",1997,Incremental Organization for Data Recording and Warehousing,VLDB
1556,Murali Mani,2003,Understanding the semantics of sensor data,SIGMOD Record
1557,"Ibrahim Korpeoglu, H�seyin �zg�r Tan",2003,Power efficient data gathering and aggregation in wireless sensor networks,SIGMOD Record
1558,Joachim Hammer,2003,Treasurer's Message,SIGMOD Record
1559,"Ralf Schneider, Thomas Brinkhoff, Bernhard Seeger, Hans-Peter Kriegel",1994,Multi-Step Processing of Spatial Joins,SIGMOD Conference
1560,"Quan Z. Sheng, Anne H. H. Ngu, Ron Lei, Du Q. Huynh",2001,Combining multi-visual features for efficient indexing in a large image database,VLDB J.
1561,"Eric Freeman, David Gelernter",1996,Lifestreams: A Storage Model for Personal Data,SIGMOD Record
1562,Chen Li,2003,Computing complete answers to queries in the presence of limited access patterns,VLDB J.
1563,"Alexandra Poulovassilis, Mark Levene",2002,Report on the Web Dynamics Workshop at WWW 2002,SIGMOD Record
1564,"Yue Huang, Yandong Cai, Yongjian Fu, Nick Cercone, Jiawei Han",1994,DBLearn: A System Prototype for Knowledge Discovery in Relational Databases,SIGMOD Conference
1565,"David Konopnicki, Oded Shmueli",1998,Information Gathering in the World-Wide Web: The W3QL Query Language and the W3QS System,ACM Trans. Database Syst.
1566,"Chenyi Xia, Wynne Hsu, Keng Lik Teo, Mong-Li Lee, Beng Chin Ooi, Pranab Kumar Mohanty",2002,Advanced Database Technologies in a Diabetic Healthcare System,VLDB
1567,"C�sar A. Galindo-Legaria, Florian Waas",2000,"Counting, Enumerating, and Sampling of Execution Plans in a Cost-Based Query Optimizer",SIGMOD Conference
1568,"Jan Flokstra, Annita N. Wilschut, Peter M. G. Apers",1995,Parallel Evaluation of Multi-Join Queries,SIGMOD Conference
1569,"Erik Riedel, Gregory R. Ganger, David Nagle, Christos Faloutsos",2000,Data Mining on an OLTP System (Nearly) for Free,SIGMOD Conference
1570,"Srinath Srinivasa, Sujit Kumar",2003,A Platform Based on the Multi-dimensional Data Model for Analysis of Bio-Molecular Structures,VLDB
1571,"Klaus R. Dittrich, Ruxandra Domenig",1999,An Overview and Classification of Mediated Query Systems,SIGMOD Record
1572,"Kaushik Chakrabarti, Sharad Mehrotra",2000,Local Dimensionality Reduction: A New Approach to Indexing High Dimensional Spaces,VLDB
1573,Ibrahim Cingil,2002,Supporting Global User Profiles Through Trusted Authorities,SIGMOD Record
1574,?,1996,MQSeries and CICS Link for Lotus Notes,SIGMOD Record
1575,"Runping Qi, Kuan Yee, Brian Sterling, Nicolas Adiba, Michael J. Carey, David Rieber, Steve Kirsch, Michael Blow, John C. Shafer, Rajendra Panwar, Daniela Florescu, Mary Roth, Dan Wineman, David Li, Bert Van der Linden, Brian Vickery, Ivan Oprencak, Tolga Urhan",2001,The Propel Distributed Services Platform,VLDB
1576,"Kinji Ono, Jihad Boulos",1999,Cost Estimation of User-Defined Methods in Object-Relational Database Systems,SIGMOD Record
1577,Peter Z. Revesz,1998,Safe Query Languages for Constraint Databases,ACM Trans. Database Syst.
1578,"Theodore Johnson, Charles D. Cranor, Oliver Spatscheck, Vladislav Shkapenyuk",2003,Gigascope: A Stream Database for Network Applications,SIGMOD Conference
1579,"Martin Theobald, Sergej Sizov, Jens Graupmann",2003,From Focused Crawling to Expert Information: an Application Framework for Web Exploration and Portal Generation,VLDB
1580,Jia Liang Han,1998,"Optimizing Relational Queries in Connection Hypergraphs: Nested Queries, Views, and Binding Propagations",VLDB J.
1581,"Tolga Urhan, Michael J. Franklin, Laurent Amsaleg",1998,Cost Based Query Scrambling for Initial Delays,SIGMOD Conference
1582,"Ethan L. Miller, Theodore Johnson",1998,Performance Measurements of Tertiary Storage Devices,VLDB
1583,"Tianqiu Wang, Yannis Papakonstantinou, Nick Koudas, Vagelis Hristidis, Andrey Balmin, Divesh Srivastava",2003,A System for Keyword Proximity Search on XML Databases,VLDB
1584,"Giansalvatore Mecca, Valter Crescenzi, Paolo Merialdo",2001,RoadRunner: Towards Automatic Data Extraction from Large Web Sites,VLDB
1585,Rafael Camps,2002,From Ternary Relationship to Relational Tables: A Case Against Common Beliefs,SIGMOD Record
1586,"Shivnath Babu, Rajeev Rastogi, Minos N. Garofalakis",2001,SPARTAN: A Model-Based Semantic Compression System for Massive Data Tables,SIGMOD Conference
1587,"A. Prasad Sistla, Ouri Wolfson, Yixiu Huang",1994,Data Replication for Mobile Computers,SIGMOD Conference
1588,"Sophie Cluet, Fanny Wattez, V�ronique Benzaken, Guy Ferran, Christian Fiegel",2000,Benchmarking Queries over Trees: Learning the Hard Truth the Hard Way,SIGMOD Conference
1589,"Wolfgang Wonner, Gerhard Weikum, Michael Gillmann",2002,Workflow management with service quality guarantees,SIGMOD Conference
1590,Luciana Duranti,2001,The Long-Term Preservation of Authentic Electronic Records,VLDB
1591,Robert S. Epstein,1995,Keynote Address,SIGMOD Conference
1592,Stuart E. Madnick,1995,From VLDB to VMLDB (Very MANY Large Data Bases): Dealing with Large-Scale Semantic Heterogenity,VLDB
1593,"Mehul A. Shah, Wei Hong, Sirish Chandrasekaran, Samuel Madden, Sailesh Krishnamurthy, Amol Deshpande, Frederick Reiss, Owen Cooper, Joseph M. Hellerstein, Michael J. Franklin",2003,TelegraphCQ: Continuous Dataflow Processing,SIGMOD Conference
1594,"Curtis E. Dyreson, Torben Bach Pedersen, Christian S. Jensen",2000,The TreeScape System: Reuse of Pre-Computed Aggregates over Irregular OLAP Hierarchies,VLDB
1595,"Richard T. Snodgrass, Dengfeng Gao",2003,Temporal Slicing in the Evaluation of XML Queries,VLDB
1596,"Daniela Florescu, Alberto O. Mendelzon, Alon Y. Levy",1998,Database Techniques for the World-Wide Web: A Survey,SIGMOD Record
1597,"Frans Coetzee, Steve Lawrence, Michelangelo Diligenti, Marco Gori, C. Lee Giles",2000,Focused Crawling Using Context Graphs,VLDB
1598,"Sharad Mehrotra, Kaushik Chakrabarti",1999,Efficient Concurrency Control in Multidimensional Access Methods,SIGMOD Conference
1599,"Stefan De�loch, Joachim Thomas, Nelson Mendon�a Mattos",1995,Design and Implementation of Advanced Knowledge Processing in the KDMS KRISYS (Demonstration Description),SIGMOD Conference
1600,"Matthew Huras, Leslie Cranston, Bishwaranjan Bhattacharjee, Sriram Padmanabhan, Timothy Malkemus, Tony Lai",2003,Efficient Query Processing for Multi-Dimensionally Clustered Tables in DB2,VLDB
1601,Victor Vianu,2003,A Web odyssey: from codd to XML,SIGMOD Record
1602,"Hans-Peter Kriegel, Raymond T. Ng, Markus M. Breunig, J�rg Sander",2000,LOF: Identifying Density-Based Local Outliers,SIGMOD Conference
1603,"Chris Olston, Jennifer Widom",2002,Best-effort cache synchronization with source cooperation,SIGMOD Conference
1604,"Jae-Jun Hwang, Mauricio A. Hern�ndez, Salvatore J. Stolfo, Hasanat M. Dewan",1994,Predictive Dynamic Load Balancing of Parallel and Distributed Rule and Query Processing,SIGMOD Conference
1605,"Divyakant Agrawal, Amr El Abbadi, Hailing Yu",2003,Tabular Placement of Relational Data on MEMS-based Storage Devices,VLDB
1606,Christoph Koch,2003,Efficient Processing of Expressive Node-Selecting Queries on XML Data in Secondary Storage: A Tree Automata-based Approach,VLDB
1607,Xiaolei Qian,1995,"Opportunities at ARPA, NSF, and Elsewhere",SIGMOD Record
1608,"Takeshi Tokuyama, Takeshi Fukuda, Yasuhiko Morimoto, Shinichi Morishita",1996,SONAR: System for Optimized Numeric AssociationRules,SIGMOD Conference
1609,"Anne H. H. Ngu, Athman Bouguettaya, Brahim Medjahed, Ahmed K. Elmagarmid, Boualem Benatallah",2003,Business-to-business interactions: issues and enabling technologies,VLDB J.
1610,"Vagelis Hristidis, Yannis Papakonstantinou",2002,DISCOVER: Keyword Search in Relational Databases,VLDB
1611,"Richard Jeffers, Divyakant Agrawal, Amr El Abbadi, Lijing Lin",1995,Ordered Shared Locks for Real-Time Databases,VLDB J.
1612,?,2002,"Proceedings of the 2002 ACM SIGMOD International Conference on Management of Data, Madison, Wisconsin, June 3-6, 2002",SIGMOD Conference
1613,"Per-�ke Larson, Jingren Zhou, Jonathan Goldstein",2003,Transparent Mid-Tier Database Caching in SQL Server,SIGMOD Conference
1614,"Etzard Stolte, Thomas R. Gross, Gustavo Alonso, Christoph von Praun",2003,Scientific Data Repositories: Designing for a Moving Target,SIGMOD Conference
1615,"Piero Fraternali, Stefano Paraboschi, Stefano Ceri",1998,The IDEA Web Lab,SIGMOD Conference
1616,"Anthony Tomasic, Eric Simon",1997,Improving Access to Environmental Data Using Context Information,SIGMOD Record
1617,"H. Stephen Au-Yeung, C. P. Chou, Yuh-Ming Shyy",1995,VERSANT Replication: Supporting Fault-Tolerant Object Databases,SIGMOD Conference
1618,"Stanley B. Zdonik, Demet Aksoy, Michael J. Franklin",2001,Data Staging for On-Demand Broadcast,VLDB
1619,Praveen Seshadri,1998,Predator: A Resource for Database Research,SIGMOD Record
1620,"Kazuhiko Mogi, Masaru Kitsuregawa",1995,Hot Block Clustering for Disk Arrays with Dynamic Striping,VLDB
1621,"Jeffrey F. Naughton, Janet L. Wiener",1995,OODB Bulk Loading Revisited: The Partitioned-List Approach,VLDB
1622,"Wolf Siberski, Wolfgang Nejdl, Michael Sintek",2003,Design issues and challenges for RDF- and schema-based peer-to-peer systems,SIGMOD Record
1623,"Ada Wai-Chee Fu, Yin-Ling Cheung, Yiu Sang Moon, Polly Mei-shuen Chan",2000,Dynamic vp-Tree Indexing for n-Nearest Neighbor Search Given Pair-Wise Distances,VLDB J.
1624,"Yuguo Liu, Yiming Li, Pradip Kanjamala, Rui Chen, Yonghui Wang, Peter Z. Revesz",2000,The MLPQ/GIS Constraint Database System,SIGMOD Conference
1625,"Laks V. S. Lakshmanan, Xiaodong Zhou, Raymond T. Ng, Theodore Johnson, Christine Xing Wang",2002,The Generalized MDL Approach for Summarization,VLDB
1626,"K. Sel�uk Candan, Wang-Pin Hsiung, Oliver Po, Divyakant Agrawal, Wen-Syan Li",2002,View Invalidation for Dynamic Content Caching in Multitiered Architectures,VLDB
1627,"Shetal Shah, Krithi Ramamritham, Prashant J. Shenoy",2002,Maintaining Coherency of Dynamic Data in Cooperating Repositories,VLDB
1628,Richard T. Snodgrass,2002,TODS Perceptions and Misconceptions,SIGMOD Record
1629,"Balakrishna R. Iyer, Jeffrey Scott Vitter, P. Krishnan",1996,Estimating Alphanumeric Selectivity in the Presence of Wildcards,SIGMOD Conference
1630,Vijay Kumar,2003,Sensor: the atomic computing particle,SIGMOD Record
1631,"Surajit Chaudhuri, Kyuseok Shim",1996,Optimization of Queries with User-defined Predicates,VLDB
1632,"Anastassia Ailamaki, Andrew Therber, Yannis E. Ioannidis, Anand Narayanan, Miron Livny",1997,ZOO: A Desktop Emperiment Management Environment,SIGMOD Conference
1633,"Kaippallimalil J. Jacob, Dennis Shasha",1999,FinTime - A Financial Time Series Benchmark,SIGMOD Record
1634,"Leonid Libkin, Timothy Griffin",1995,Incremental Maintenance of Views with Duplicates,SIGMOD Conference
1635,Hartmut Wedekind,1994,Are the Terms Version and Variant Orthogonal to One Another? A Critical Assessment of the STEP Standardization,SIGMOD Record
1636,"Rachel Pottinger, Alon Y. Halevy, Philip A. Bernstein",2000,A Vision of Management of Complex Models,SIGMOD Record
1637,"Roger H. L. Chiang, Ee-Peng Lim, Chua Eng Huang Cecil",2003,Instance-based attribute identification in database integration,VLDB J.
1638,"William J. McIver Jr., Roger King",1994,"Self-Adaptive, On-Line Reclustering of Complex Object Data",SIGMOD Conference
1639,"Mitch Cherniack, Kenneth A. Ross, Gottfried Vossen",2003,Reminiscences on Influential Papers,SIGMOD Record
1640,?,1995,Calls for Papers and Announcements,SIGMOD Record
1641,"Christos Faloutsos, Volker Gaede",1996,Analysis of n-Dimensional Quadtrees using the Hausdorff Fractal Dimension,VLDB
1642,A. R. Dasgupta,1996,Large Databases for Remote Sensing and GIS,VLDB
1643,"Barbara T. Bauldock, Gladys A. Cotter",2000,Biodiversity Informatics Infrastructure: An Information Commons for the Biodiversity Community,VLDB
1644,"Till Westmann, Sven Helmer, Guido Moerkotte, Donald Kossmann",2000,The Implementation and Performance of Compressed Databases,SIGMOD Record
1645,"Christos H. Papadimitriou, Anant Jhingran, Yannis E. Ioannidis, Kenneth A. Ross",2000,Reminiscences on Influential Papers,SIGMOD Record
1646,"Thomas Seidl, Marco P�tke, Hans-Peter Kriegel",2000,Managing Intervals Efficiently in Object-Relational Databases,VLDB
1647,"Benny Souder, Bob Jenkins, Lip Boon Doo, Peter Lim, Gordon Smith, Dean Daniels, Curtis Elsbernd, Gary Hallmark, Alan Downing, Jim Stamos, Sandeep Jain",1994,Oracle's Symmetric Replication Technology and Implications for Application Design,SIGMOD Conference
1648,"Seth J. White, David J. DeWitt",1995,QuickStore: A High Performance Mapped Object Store,VLDB J.
1649,"Hartmut Liefke, Dan Suciu",2000,XMILL: An Efficient Compressor for XML Data,SIGMOD Conference
1650,"Nick Roussopoulos, Christos Faloutsos, Timos K. Sellis",1997,Multidimensional Access Methods: Trees Have Grown Everywhere,VLDB
1651,"Nicolas Bruno, Surajit Chaudhuri",2002,Exploiting statistics on query expressions for optimization,SIGMOD Conference
1652,"Sudarshan S. Chawathe, Ming-Syan Chen, Philip S. Yu",1994,On Index Selection Schemes for Nested Object Hierarchies,VLDB
1653,"Mark G. L. M. van Doorn, Arjen P. de Vries, Henk M. Blanken, Peter M. G. Apers",1999,The Mirror MMDBMS Architecture,VLDB
1654,"Ming-Chien Shan, Fabio Casati, Umeshwar Dayal",2000,VLDB Workshop on Technologies in E-Services (TES),SIGMOD Record
1655,"Thodoros Topaloglou, Adel Shrufi, Vinay K. Chaudhri, Dimitris Plexousakis, John Mylopoulos",1996,Building Knowledge Base Management Systems,VLDB J.
1656,"Wei Fan, Wenke Lee",2001,Mining System Audit Data: Opportunities and Challenges,SIGMOD Record
1657,"Weiyi Meng, Naphtali Rishe, Clement T. Yu, King-Lup Liu, Xiaodong Wang, Yuhsi Chang",1998,Determining Text Databases to Search in the Internet,VLDB
1658,"Rajeev Rastogi, Minos N. Garofalakis, Chee Yong Chan",2002,RE-Tree: An Efficient Index Structure for Regular Expressions,VLDB
1659,"George M. Bryan, J. Geyer, Wayne E. Moore, B. J. Curry, K. W. Lodge",1994,The MEDUSA Project: Autonomous Data Management in a Shared-Nothing Parallel Database Machine,SIGMOD Conference
1660,"Kevin S. Beyer, Roberta Cochrane, Kenneth Salem, Bruce G. Lindsay",2000,How To Roll a Join: Asynchronous Incremental View Maintenance,SIGMOD Conference
1661,"Stefano Ceri, Elena Baralis, Stefano Paraboschi",1996,Modularization Techniques for Active Rules Design,ACM Trans. Database Syst.
1662,"Fabrizio Ferrandina, Guy Ferran, Thorsten Meyer, Roberto Zicari, Jo�lle Madec",1995,Schema and Database Evolution in the O2 Object Database System,VLDB
1663,"Alfons Kemper, Christian Wiesner",2001,Hyperqueries: Dynamic Distributed Query Processing on the Internet,VLDB
1664,"Jason McHugh, Jennifer Widom",1999,Query Optimization for XML,VLDB
1665,Donald R. Deutsch,1995,Objects and SQL: Strange Relations? Panel,SIGMOD Conference
1666,"Karl Aberer, Xiaoya Yang, Klemens B�hm, Erich J. Neuhold",1997,Structured Document Storage and Refined Declarative and Navigational Access Mechanisms in HyperStorM,VLDB J.
1667,"Demet Aksoy, Mehmet Altinel, Stanley B. Zdonik, Thomas Baby, William Shapiro, Michael J. Franklin",1999,DBIS-Toolkit: Adaptable Middleware for Large Scale Data Delivery,SIGMOD Conference
1668,"Amr El Abbadi, Yi-Leh Wu, Divyakant Agrawal",2001,Using the Golden Rule of Sampling for Query Estimation,SIGMOD Conference
1669,"Joel H. Saltz, John Burgess, Felipe Cari�o, William O'Connell",1999,"Active Storage Hierarchy, Database Systems and Applications - Socratic Exegesis",VLDB
1670,"Deok-Hwan Kim, Ju-Hong Lee, Chin-Wan Chung",1999,Multi-dimensional Selectivity Estimation Using Compressed Histogram Information,SIGMOD Conference
1671,"Linas Bukauskas, Curtis E. Dyreson, Michael H. B�hlen",1999,The Jungle Database Search Engine,SIGMOD Conference
1672,Arun Hampapur,1999,Semantic Video Indexing: Approach and Issue,SIGMOD Record
1673,"Anastasio Molano, Alberto Pan, Paula Montoto, Juan Raposo, Luc�a Ardao, Manuel �lvarez, Vicente Orjales, �ngel Vi�a, Justo Hidalgo",2002,The Denodo Data Integration Platform,VLDB
1674,"Yo�lle S. Maarek, David Carmel, Aya Soffer",2001,XML and Information Retrieval: a SIGIR 2000 Workshop,SIGMOD Record
1675,"Alfons Kemper, Ehud Gudes, Natalija Krivokapic",1999,Deadlock Detection in Distributed Database Systems: A New Algorithm and a Comparative Performance Analysis,VLDB J.
1676,C. Mohan,2002,Application Servers and Associated Technologies,VLDB
1677,"Luis Gravano, Junyan Ding, Narayanan Shivakumar",2000,Computing Geographical Scopes of Web Resources,VLDB
1678,"Ray Suorsa, John Nauman",1998,"Developing a High Traffic, Read-Only Web Site",SIGMOD Conference
1679,"Hector Garcia-Molina, Murty Valiveti, Chen Li, Ramana Yerneni, Jeffrey D. Ullman, Vasilis Vassalos, Yannis Papakonstantinou",1998,Capability Based Mediation in TSIMMIS,SIGMOD Conference
1680,"Mitch Cherniack, Stanley B. Zdonik",1996,Rule Languages and Internal Algebras for Rule-Based Optimizers,SIGMOD Conference
1681,"Andrew Eisenberg, Jim Melton",2002,SQL/XML is Making Good Progress,SIGMOD Record
1682,"Anand Deshpande, Jos� A. Blakeley",2000,Tutorial: Data Access,SIGMOD Conference
1683,"Michel Tourn, Man Abrol, John Wang, Grace Zhang, Jianchang Mao, Uma Mahadevan, Rajat Mukherjee, Prabhakar Raghavan, Neil Latarche",2001,Navigating large-scale semi-structured data in business portals,VLDB
1684,"Michael Eitan, Valerie Gregg, Carlo Batini, D. B. Phatak, Yeha El Atfi, Krithi Ramamritham",2000,"Social, Educational, and Governmental Change Enabled through Information Technology",VLDB
1685,"Fabrizio Ferrandina, Thorsten Meyer, Roberto Zicari",1994,Implementing Lazy Database Updates for an Object Database System,VLDB
1686,"Christian Convey, Sangdon Lee, Ugur �etintemel, Daniel J. Abadi, Michael Stonebraker, Mitch Cherniack, Donald Carney, Stanley B. Zdonik, Nesime Tatbul",2003,Aurora: a new model and architecture for data stream management,VLDB J.
1687,"Jan-Eike Michels, Peter M. Schwarz, Krishna G. Kulkarni, Vanja Josifovski, Jim Melton",2002,SQL/MED - A Status Report,SIGMOD Record
1688,H. V. Jagadish,2000,ACM-SIGMOD Digital Review,SIGMOD Record
1689,Michael J. Carey,1994,Parallel Database Systems in the 1990's,SIGMOD Conference
1690,"Joseph M. Hellerstein, Vijayshankar Raman",2002,Partial results for online query processing,SIGMOD Conference
1691,"Jan Van den Bussche, Marc Andries, Jan Paredaens, Luca Cabibbo",2001,Applying an update method to a set of receivers,ACM Trans. Database Syst.
1692,"Alexander Brodsky, Yoram Kornatzky",1995,The LyriC Language: Querying Constraint Objects,SIGMOD Conference
1693,"Elena Ferrari, Pierangela Samarati, Claudio Bettini, Elisa Bertino",1998,An Access Control Model Supporting Periodicity Constraints and Temporal Reasoning,ACM Trans. Database Syst.
1694,"Florian Krebs, Christian B�hm, Bernhard Braunm�ller, Hans-Peter Kriegel",2001,Epsilon Grid Order: An Algorithm for the Similarity Join on Massive High-Dimensional Data,SIGMOD Conference
1695,"Shankar Pal, Thomas Bergstraesser, Philip A. Bernstein, David Shutt",1999,Versions and Workspaces in Microsoft Repository,SIGMOD Conference
1696,"Brad Adelberg, Ben Kao, Hector Garcia-Molina",1996,Overview of the STanford Real-time Information Processor (STRIP),SIGMOD Record
1697,"�ystein Torbj�rnsen, Svein Erik Bratsberg",2000,Tutorial: Designing an Ultra Highly Available DBMS,SIGMOD Conference
1698,"Yannis Sismanis, Yannis Kotidis, Nick Roussopoulos",1999,The Active MultiSync Controller of the Cubetree Storage Organization,SIGMOD Conference
1699,"Laura M. Haas, Ling-Ling Yan, Ronald Fagin, Ren�e J. Miller",2001,Data-Driven Understanding and Refinement of Schema Mappings,SIGMOD Conference
1700,"Miron Livny, Michael J. Carey, HweeHwa Pang",1994,Managing Memory for Real-Time Queries,SIGMOD Conference
1701,"Dimitrios Georgakopoulos, Ming-Chien Shan, Fabio Casati",2001,E-Services - Guest editorial,VLDB J.
1702,"Joel L. Wolf, Cecilia Magdalena Procopiuc, Jong Soo Park, Charu C. Aggarwal, Philip S. Yu",1999,Fast Algorithms for Projected Clustering,SIGMOD Conference
1703,"Kothuri Venkata Ravi Kanth, Siva Ravada, Daniel Abugov",2002,Quadtree and R-tree indexes in oracle spatial: a comparison using GIS data,SIGMOD Conference
1704,"Piero Fraternali, Stefano Paraboschi, Stefano Ceri",1999,Design Principles for Data-Intensive Web Sites,SIGMOD Record
1705,Asuman Dogac,1998,Guest Editor's Introduction,SIGMOD Record
1706,"Marianne Winslett, Kenneth Smith, Xiaolei Qian",1994,Formal Query Languages for Secure Relational Databases,ACM Trans. Database Syst.
1707,"Val Tannen, Arnaud Sahuguet, Alin Deutsch, Lucian Popa",2000,A Chase Too Far?,SIGMOD Conference
1708,Rafael Alonso,1994,Trade Press News,SIGMOD Record
1709,"C�sar A. Galindo-Legaria, Michael J. Franklin, Leonard J. Seligman, Guy M. Lohman",2001,SIGMOD 2001 Industry Sessions,SIGMOD Record
1710,?,2000,Author Index,VLDB
1711,"Krishnamurty Muralidhar, Rathindra Sarathy",1999,Security of Random Data Perturbation Methods,ACM Trans. Database Syst.
1712,"Marek Rusinkiewicz, Tomasz Ksiezyk, Richard S. Brice, Ray Shea, Vipul Kashyap, Andrzej Cichocki, Mosfeq Rashid, C. Unnikrishnan, Abdelsalam Helal, Amy Unruh, Marian H. Nodine, Jerry Fowler, Darrell Woelk, Gale Martin, Roberto J. Bayardo Jr., William Bohrer",1997,The InfoSleuth Project,SIGMOD Conference
1713,"P. P. S. Narayan, S. Sudarshan, S. Gogate, J. Miller, Abraham Silberschatz, C. Gupta, Jerry Baulier, M. Wilder, Henry F. Korth, Peter McIlroy, S. Haldar, S. Seshadri, Philip Bohannon, C. Wei, A. Khivesera, S. Joshi, Rajeev Rastogi, M. Nemeth",1999,DataBlitz Storage Manager: Main Memory Database Performance for Critical Applications,SIGMOD Conference
